date,best_scaler_name,best_model_name,best_score,len_y
2025-06-26 15:18:04,RobustScaler,mlp,0.790909090909091,110
2025-07-03 13:31:28,QuantileTransformer,svm,0.8,110
2025-07-04 14:02:34,RobustScaler,mlp,0.8261904761904763,104
20250801_123049,StandardScaler,mlp,0.8242105263157896,96
20251001_114747,MaxAbsScaler,svm,0.8336842105263157,96
20251001_133032,Normalizer,svm,0.8331578947368421,96
20251001_133256,StandardScaler,mlp,0.8121052631578948,96
20251001_134037,MaxAbsScaler,svm,0.7905263157894737,96
20251001_134058,MaxAbsScaler,svm,0.8231578947368421,96
20251001_140946,RobustScaler,random_forest,0.73,96
20251001_141616,Normalizer,random_forest,0.7710526315789473,96
20251001_141900,Normalizer,hist_gradient_boosting,0.75,96
20251001_150522,MaxAbsScaler,mlp,0.7373684210526317,96
20251001_150749,MinMaxScaler,svm,0.7305263157894737,96
20251001_150919,RobustScaler,mlp,0.7273684210526316,96
20251001_151019,MaxAbsScaler,svm,0.6884210526315789,96
20251001_151032,MaxAbsScaler,svm,0.74,96
20251001_151059,MaxAbsScaler,svm,0.6773684210526316,96
20251001_152335,MaxAbsScaler,svm,0.7084210526315788,96
20251001_152426,MaxAbsScaler,svm,0.7078947368421054,96
20251001_152541,RobustScaler,random_forest,0.7605263157894737,96
20251001_152617,Normalizer,svm,0.6789473684210526,96
20251001_152649,Normalizer,random_forest,0.6973684210526315,96
20251001_152803,MaxAbsScaler,svm,0.728421052631579,96
20251001_152832,MaxAbsScaler,svm,0.7278947368421053,96
20251001_152909,MaxAbsScaler,svm,0.7094736842105263,96
20251001_152927,MaxAbsScaler,svm,0.7478947368421054,96
20251001_155825,StandardScaler,mlp,0.7610526315789473,96
20251001_160558,QuantileTransformer,svm,0.7450980392156862,86
20251001_161942,MaxAbsScaler,svm,0.7437908496732025,86
20251001_162934,NoScaler,random_forest,0.7457516339869281,86
20251002_115845,MaxAbsScaler,mlp,0.7196078431372549,86
20251002_140206,MinMaxScaler,knn,0.7209150326797384,86
20251002_142039,RobustScaler,random_forest,0.7457516339869281,86
20251002_143858,MinMaxScaler,random_forest,0.7333333333333334,86
20251002_144953,Normalizer,svm,0.7857142857142858,70
20251002_145618,MinMaxScaler,svm,0.742857142857143,70
20251002_150234,QuantileTransformer,hist_gradient_boosting,0.678095238095238,72
20251002_151053,NoScaler,mlp,0.7551470588235294,82
20251003_142103,MaxAbsScaler,svm,0.7801470588235294,82
20251003_152833,Normalizer,mlp,0.7433333333333334,78
20251021_152409,MaxAbsScaler,random_forest,0.7304761904761905,74
20251021_154300,Normalizer,knn,0.7571428571428571,74
20251021_162559,MaxAbsScaler,random_forest,0.7695238095238095,74
20251024_095534,RobustScaler,hist_gradient_boosting,0.6666666666666666,12
20251104_120131,QuantileTransformer,svm,0.7063157894736841,96
20251104_120756,MinMaxScaler,svm,0.74,96
20251104_121607,NoScaler,mlp,0.7594736842105263,96
20251104_133715,QuantileTransformer,svm,0.7284210526315789,96
20251104_134335,Normalizer,knn,0.76,96
20251104_134946,MaxAbsScaler,svm,0.73,96
20251105_094600,RobustScaler,Outlier Detection,0.0,52
20251105_095042,RobustScaler,Outlier Detection,0.0,52
20251105_100226,RobustScaler,Outlier Detection,0.0,52
20251105_102841,RobustScaler,Outlier Detection,0.0,52
20251105_103131,RobustScaler,Outlier Detection,0.0,52
20251105_104318,RobustScaler,Outlier Detection,0.0,52
20251105_115815,RobustScaler,Outlier Detection,0.0,52
20251105_120002,RobustScaler,Outlier Detection,0.0,52
20251105_125705,RobustScaler,Outlier Detection,0.0,52
20251105_133053,RobustScaler,Outlier Detection,0.0,52
20251105_133102,RobustScaler,Outlier Detection,0.0,52
20251105_134239,RobustScaler,Outlier Detection,0.0,52
20251105_141044,RobustScaler,Outlier Detection,0.0,52
20251105_145459,RobustScaler,Outlier Detection,0.0,52
20251105_151450,RobustScaler,Outlier Detection,0.0,62
20251105_153903,MaxAbsScaler,mlp,0.7896666666666667,124
20251105_160939,Normalizer,random_forest,0.7983333333333333,124
20251106_121345,NoScaler,random_forest,0.798,124
20251106_122921,NoScaler,knn,0.766,124
20251106_134701,QuantileTransformer,random_forest,0.7973333333333332,124
20251106_141013,NoScaler,mlp,0.7663333333333333,124
20251106_145433,Normalizer,random_forest,0.8073333333333335,124
20251106_151609,Normalizer,hist_gradient_boosting,0.798,124
20251106_153658,NoScaler,random_forest,0.7833333333333333,124
20251106_154627,MaxAbsScaler,svm,0.7596666666666667,124
20251106_155204,NoScaler,knn,0.7983333333333332,124
20251106_155606,Normalizer,svm,0.774,124
20251106_155804,QuantileTransformer,svm,0.7336666666666668,124
20251106_155936,MinMaxScaler,svm,0.7576666666666667,124
20251106_160113,Normalizer,random_forest,0.75,124
20251106_160431,Normalizer,random_forest,0.7573333333333333,124
20251106_160939,QuantileTransformer,random_forest,0.7416666666666668,124
20251106_161533,MaxAbsScaler,mlp,0.7973333333333332,124
20251107_113613,Normalizer,hist_gradient_boosting,0.7583333333333333,124
20251107_115531,RobustScaler,random_forest,0.8066666666666666,124
20251107_120041,QuantileTransformer,random_forest,0.7973333333333333,124
20251114_141033,NoScaler,mlp,0.7736666666666667,124
